Algoritmo,Max_repeticiones,Longitud,Tiempo
2,6,1658,0.08562874794006348
1,6,1389,0.0047304630279541016
0,5,1688,0.19484853744506836
0,5,1439,0.14136123657226562
2,5,1129,0.04023599624633789
1,5,1566,0.005385637283325195
0,5,1396,0.13167190551757812
0,4,1477,0.14657926559448242
0,5,1177,0.09095883369445801
2,4,1045,0.03374028205871582
1,4,1401,0.004736900329589844
0,5,1602,0.1743173599243164
2,6,1747,0.09110832214355469
2,5,1649,0.08459711074829102
0,4,1092,0.07854294776916504
2,5,1476,0.06540584564208984
0,5,1389,0.13064813613891602
0,5,1711,0.19877052307128906
0,5,1757,0.2120649814605713
2,6,1520,0.07112479209899902
2,6,1268,0.046779632568359375
0,5,1168,0.08895421028137207
0,4,1362,0.12334132194519043
0,5,1267,0.10767412185668945
0,5,1080,0.07648468017578125
1,4,1255,0.004203319549560547
0,6,1428,0.1366257667541504
2,7,1163,0.03969073295593262
1,5,1246,0.004166841506958008
2,5,1735,0.09338140487670898
0,4,1105,0.0791466236114502
1,5,1415,0.0047931671142578125
2,6,1546,0.07144403457641602
0,6,1609,0.1768479347229004
1,5,1745,0.006052255630493164
2,5,1523,0.07128071784973145
2,6,1704,0.09050297737121582
1,6,1775,0.006180763244628906
2,5,1713,0.08870840072631836
1,5,1520,0.005337715148925781
0,5,1025,0.06758880615234375
2,4,1164,0.040236473083496094
0,5,1216,0.0979776382446289
1,5,1452,0.0049326419830322266
1,4,1555,0.005338430404663086
2,6,1269,0.0499110221862793
1,4,1023,0.0032389163970947266
1,6,1501,0.005219459533691406
2,6,1322,0.05343055725097656
0,5,1709,0.1986250877380371
1,5,1181,0.003944873809814453
1,6,1593,0.005448818206787109
2,5,1300,0.05199909210205078
1,5,1292,0.004338741302490234
2,5,1494,0.06687545776367188
2,5,1677,0.08557009696960449
2,5,1351,0.05830979347229004
2,6,1636,0.08439850807189941
0,5,1315,0.11582350730895996
0,5,1103,0.08078789710998535
2,5,1659,0.08220362663269043
0,6,1334,0.12045097351074219
0,5,1632,0.1829996109008789
1,5,1748,0.0070035457611083984
1,4,1113,0.003693819046020508
2,7,1719,0.09016036987304688
0,5,1272,0.10651063919067383
2,5,1127,0.03824305534362793
2,4,1145,0.04093670845031738
0,5,1224,0.1008613109588623
2,6,1560,0.07431769371032715
2,6,1583,0.07705426216125488
1,4,1248,0.0044553279876708984
2,5,1317,0.0526423454284668
1,5,1440,0.0048961639404296875
2,4,1088,0.035364627838134766
0,6,1569,0.16667652130126953
1,5,1203,0.004029989242553711
2,4,1175,0.04290652275085449
2,6,1659,0.08410835266113281
2,6,1501,0.07026529312133789
0,4,1054,0.07367706298828125
2,5,1307,0.050330162048339844
1,5,1602,0.005505084991455078
0,5,1659,0.1849818229675293
2,6,1582,0.07676982879638672
2,5,1756,0.0943593978881836
1,5,1256,0.0042324066162109375
2,6,1390,0.058954715728759766
1,4,1275,0.0042836666107177734
2,5,1581,0.07339215278625488
0,5,1760,0.2103135585784912
1,4,1080,0.003573894500732422
0,5,1715,0.20222926139831543
1,5,1246,0.0041735172271728516
1,4,1096,0.0036399364471435547
1,5,1283,0.004381656646728516
1,4,1283,0.00431060791015625
2,5,1308,0.05258464813232422
0,5,1706,0.20145869255065918
0,5,1230,0.10159015655517578
1,5,1286,0.0044002532958984375
1,6,1560,0.005349159240722656
1,5,1209,0.004049777984619141
2,5,1178,0.04030489921569824
1,5,1535,0.005241870880126953
0,5,1221,0.09814000129699707
1,6,1429,0.0048372745513916016
1,4,1201,0.004026889801025391
2,5,1411,0.06037497520446777
1,4,1120,0.0037114620208740234
2,6,1186,0.04260563850402832
2,6,1269,0.048513174057006836
1,6,1790,0.006197690963745117
2,5,1418,0.05990290641784668
0,4,1172,0.09083962440490723
1,5,1649,0.005674839019775391
2,4,1055,0.03371477127075195
0,5,1526,0.15854763984680176
1,6,1176,0.0039179325103759766
1,5,1030,0.00336456298828125
2,6,1617,0.07916045188903809
0,4,1075,0.07707071304321289
2,5,1429,0.062165260314941406
1,5,1782,0.006166934967041016
2,5,1757,0.09519410133361816
2,5,1512,0.06906270980834961
2,7,1589,0.07661819458007812
0,5,1223,0.10021829605102539
2,4,1193,0.043204307556152344
2,5,1678,0.08692431449890137
0,4,1174,0.09284257888793945
2,4,1124,0.03907060623168945
1,5,1726,0.005974531173706055
2,6,1445,0.06398582458496094
2,4,1262,0.05004143714904785
1,5,1676,0.005760669708251953
0,6,1708,0.19724774360656738
0,5,1627,0.17915916442871094
1,4,1342,0.004549980163574219
2,7,1785,0.09786224365234375
1,5,1662,0.005723476409912109
1,4,1065,0.0035102367401123047
0,6,1729,0.20607590675354004
1,5,1175,0.0039119720458984375
1,4,1496,0.005088329315185547
1,5,1411,0.004788875579833984
1,4,1236,0.0041348934173583984
0,4,1039,0.07088279724121094
2,4,1021,0.030922412872314453
2,5,1705,0.08808469772338867
2,6,1619,0.07906818389892578
1,5,1208,0.004048824310302734
1,5,1028,0.003348112106323242
0,6,1522,0.15668582916259766
2,5,1251,0.049996137619018555
2,4,1101,0.037102699279785156
0,5,1519,0.15506768226623535
0,5,1315,0.11660003662109375
0,5,1331,0.11748766899108887
2,5,1726,0.09172582626342773
